Kinase,Phenotype,Delta2h,Delta4h
AAK1,Resistor,-10.95,-12.18
AATK,Neutral,6.43,1.3
ABL1,Resistor,-6.6,-6.85
ABL2,Neutral,1.77,-0.14
AKT1,Neutral,9.62,6.61
ARAF,Sensitizer,16.41,12.17
ATR,Neutral,8.79,0.31
AURKA,Neutral,5.06,6.95
BLK,Neutral,5.1,5.91
BMX,Neutral,11.34,1.09
BUB1B,Neutral,11.34,7.96
CAMK2A,Sensitizer,13.67,13.12
CASK,Sensitizer,14.9,13.24
CDK1,Neutral,8.81,4.01
CDK13,Unclassified,0.11,3.94
CDK16,Neutral,3,5.2
CDK2,Unclassified,0.83,-0.53
CDK5,Neutral,8.21,7.13
CDKL1,Resistor,-4.6,-2.72
CHEK1,Resistor,-12.27,-11.63
CHEK2,Resistor,-14.56,-5.59
CSK,Resistor,-17.37,-16.85
CSNK2A1,Resistor,-8.86,-6.21
DAPK1,Resistor,-11.6,-8.53
DCLK1,Neutral,6.32,-2.42
FES,Resistor,-11.89,-12.54
FRK,Neutral,4.76,3.93
GRK1,Resistor,-2.79,-8.11
IKBKB,Resistor,-10.77,-9.21
IKBKE,Unclassified,-3.06,2.5
ILK,Resistor,-16.76,-21.13
IRAK1,Resistor,-11.21,-12.87
IRAK4,Resistor,-38.47,-50.18
JAK1,Unclassified,12.1,10.62
JAK2,Resistor,-18.37,-15.07
JAK3,Neutral,4.49,1.56
LIMK1,Resistor,-11.11,-10.46
LIMK2,Resistor,-4.78,-6.1
MAK,Resistor,-4.43,-6.47
MAP3K11,Neutral,7.56,5.65
MAP3K5,Neutral,5.31,3.18
MAP3K8,Resistor,-20.95,-18.01
MAP4K3,Sensitizer,13.25,14.81
MAPK14,Resistor,-3.71,-3.41
MAPK3,Unclassified,-0.77,-3.8
MAPK8,Resistor,-6.55,-3.38
MAPK9,Neutral,3.72,-1.51
MARK2,Neutral,2.89,3.99
MARK3,Unclassified,0.71,0.19
MAST1,Neutral,8.83,6.19
MAST3,Neutral,7.25,0.59
MELK,Resistor,-3.26,-1.84
MINK1,Resistor,-10.89,-11.42
MKNK1,Neutral,9,6.16
NEK9,Neutral,2.03,2.06
NIM1 (AC114947.1),Unclassified,-1.14,-4.13
NUAK1,unclassified,2.17,-2.33
PAK1,unclassified,0.03,-2.72
PAK4,Neutral,4.62,-2.65
PDPK1,Neutral,6.51,4.35
PINK1,Unclassified,-0.1,-5.01
PLK1,Unclassified,3.46,-3.03
PRKAA1,Unclassified,-0.02,-1.33
PRKCA,Resistor,-13.7,-18.38
PRKCB,Unclassified,1.29,2.07
PRKCZ,Resistor,-11.9,-12.41
PRKY,Unclassified,-1.34,1.4
PTK2,Resistor,-9.81,-7.49
PTK2B,Resistor,-13.65,-14.45
PTK6,Neutral,6.64,4.01
PXK,Resistor,-28.37,-27.71
RAF1,Neutral,6.87,6.86
RIOK1,Resistor,-3.68,-7.66
RIPK2,Sensitizer,14.79,10.29
RIPK4,Resistor,-10.05,-14.56
ROCK2,Resistor,-2.71,-6.48
RPS6KA2,Neutral,4.24,2.2
RPS6KB1,Unclassified,1.39,3.89
RPS6KC1,Resistor,-19.64,-18.47
SBK1,Resistor,-1.99,-5.85
SCYL2,Resistor,-4.32,-6.16
SGK2,Resistor,-6.67,-4.75
SIK2 (SNF1LK2),Unclassified,-3.09,1.83
SRC,Resistor,-9.93,-11.42
SRMS,Unclassified,1.82,0.75
SRPK1,Resistor,-3.56,-5.51
STK10,Sensitizer,15.38,11.11
STK11,Unclassified,1.14,-1.35
STK17A,Unclassified,0.76,-3.36
STK32A,Neutral,5.28,3.94
STK32B,Resistor,-3.24,-0.98
STK38,Neutral,7.54,3.5
STK38L,Resistor,-1.44,-6.85
STYK1,Resistor,-2.95,-0.55
TAOK1,Neutral,7.09,2.54
TEC,Resistor,-24.06,-21.67
TESK1,Neutral,11.18,1.1
TNK1,Resistor,-6.49,-6.01
TNNI3K,Resistor,-12.69,-13.81
TRIB1,Neutral,7.31,5.61
TSSK1B,Resistor,-12.52,-6.9
TSSK6,Resistor,-3.57,-4.26
TTK,Unclassified,-1.43,-2.19
TYK2,Unclassified,15.08,7.18
UHMK1,Resistor,-7.24,-11.21
WEE1,Resistor,-8.27,-4.04
ZAP70,Neutral,8.86,5.66