StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
17/03/2021 03:08,17/03/2021 03:08,100,34,TRUE,17/03/2021 03:08,R_1jx28z4EYzdLmNd,anonymous,EN,84,D,A,C,A,A,A,B,A,C,C
17/03/2021 03:08,17/03/2021 03:09,100,20,TRUE,17/03/2021 03:09,R_20U6cF4f7pFfbxb,anonymous,EN,77,C,D,A,,A,B,C,A,A,C
23/03/2021 11:05,23/03/2021 11:05,100,54,TRUE,23/03/2021 11:05,R_oXHNzSI4aAISjxn,anonymous,EN,51,D,C,D,B,A,D,D,A,A,A
23/03/2021 11:05,23/03/2021 11:14,100,564,TRUE,23/03/2021 11:14,R_29iR3XxZbzDWizy,anonymous,EN,83,B,A,D,A,C,A,C,A,A,A
23/03/2021 11:05,23/03/2021 11:14,100,555,TRUE,23/03/2021 11:14,R_1dBvXJRckeXpMrZ,anonymous,EN,88,C,A,A,D,A,A,B,C,A,A
23/03/2021 11:05,23/03/2021 11:14,100,568,TRUE,23/03/2021 11:14,R_1qURia8GbrDPfAE,anonymous,EN,68,A,B,A,B,A,C,D,A,C,A
23/03/2021 11:05,23/03/2021 11:14,100,570,TRUE,23/03/2021 11:14,R_1q1BnNsbxV2ITdI,anonymous,EN,59,D,A,A,B,D,C,A,A,D,C
23/03/2021 11:05,23/03/2021 11:14,100,574,TRUE,23/03/2021 11:14,R_3JrBSs7xFxzZ9nG,anonymous,EN,70,A,D,C,B,,A,C,D,A,C
23/03/2021 11:05,23/03/2021 11:14,100,547,TRUE,23/03/2021 11:14,R_1OHqJRZpPkzgYgs,anonymous,EN,52,A,D,D,B,A,A,A,B,D,D
23/03/2021 11:04,23/03/2021 11:14,100,585,TRUE,23/03/2021 11:14,R_2dSyoftuRSByY2f,anonymous,EN,86,D,A,C,A,A,B,A,C,A,B
23/03/2021 11:05,23/03/2021 11:14,100,559,TRUE,23/03/2021 11:14,R_0OL75MH4nX6oOaZ,anonymous,EN,66,D,A,D,A,D,A,D,A,A,B
23/03/2021 11:05,23/03/2021 11:14,100,564,TRUE,23/03/2021 11:14,R_1l3FIAZKPLrft4X,anonymous,EN,45,D,A,C,C,,D,C,D,D,A
23/03/2021 11:07,23/03/2021 11:14,100,463,TRUE,23/03/2021 11:14,R_272sRbJc0pZoSgU,anonymous,EN,60,D,D,D,B,A,C,A,A,C,A
23/03/2021 11:05,23/03/2021 11:14,100,572,TRUE,23/03/2021 11:14,R_5oojreY47mkqAil,anonymous,EN,88,A,A,A,C,A,A,A,C,A,A
23/03/2021 11:05,23/03/2021 11:14,100,543,TRUE,23/03/2021 11:14,R_2EHjXKk8nUaI4mp,anonymous,EN,89,A,D,A,A,A,D,A,A,B,A
23/03/2021 11:05,23/03/2021 11:14,100,586,TRUE,23/03/2021 11:14,R_1jIzpCuTvpCIFsa,anonymous,EN,84,C,A,A,D,B,B,C,A,C,A
23/03/2021 11:04,23/03/2021 11:14,100,595,TRUE,23/03/2021 11:14,R_1ePEuyOs2lAFvtY,anonymous,EN,72,A,A,D,C,D,A,C,C,A,C
23/03/2021 11:05,23/03/2021 11:14,100,546,TRUE,23/03/2021 11:14,R_1K8DG71PUkOUs1J,anonymous,EN,80,C,A,A,A,B,A,B,A,A,A
23/03/2021 11:05,23/03/2021 11:14,100,590,TRUE,23/03/2021 11:14,R_2az5QRW0PnrObli,anonymous,EN,66,D,C,A,C,D,D,A,A,B,D
23/03/2021 11:05,23/03/2021 11:14,100,590,TRUE,23/03/2021 11:14,R_3haxsCJLRFJ5zXt,anonymous,EN,97,B,A,A,A,A,A,B,A,A,A
23/03/2021 11:05,23/03/2021 11:14,100,584,TRUE,23/03/2021 11:14,R_1Ow48W76CpGi5Pj,anonymous,EN,0,A,B,C,B,D,C,A,B,C,B
23/03/2021 11:05,23/03/2021 11:14,100,558,TRUE,23/03/2021 11:14,R_2wLBFgfrXDNoR0H,anonymous,EN,86,B,B,A,A,A,A,B,C,A,C
23/03/2021 11:05,23/03/2021 11:14,100,579,TRUE,23/03/2021 11:14,R_31XDoXuQ3ZTmwic,anonymous,EN,83,A,A,A,C,B,C,C,B,B,D
23/03/2021 11:05,23/03/2021 11:14,100,588,TRUE,23/03/2021 11:14,R_2DUImleEXLQvbBH,anonymous,EN,60,A,B,D,B,D,B,D,C,A,C
23/03/2021 11:05,23/03/2021 11:14,100,593,TRUE,23/03/2021 11:14,R_9yoi7ZrWudcWCt3,anonymous,EN,71,A,C,A,C,D,A,C,C,B,C
23/03/2021 11:04,23/03/2021 11:14,100,602,TRUE,23/03/2021 11:14,R_2fDNsEgfyjPrBV2,anonymous,EN,66,A,B,B,C,A,C,C,C,C,A
23/03/2021 11:07,23/03/2021 11:14,100,456,TRUE,23/03/2021 11:14,R_1Q5CYQLWnybjuih,anonymous,EN,78,A,B,B,D,A,A,A,B,C,A
23/03/2021 11:05,23/03/2021 11:14,100,590,TRUE,23/03/2021 11:15,R_30rhuQ5o3vQaoGO,anonymous,EN,90,B,D,A,A,D,A,A,D,A,A
23/03/2021 11:05,23/03/2021 11:15,100,551,TRUE,23/03/2021 11:15,R_stEDQtHu8w2TKGB,anonymous,EN,68,C,C,A,D,C,B,C,A,B,D
23/03/2021 11:05,23/03/2021 11:15,100,594,TRUE,23/03/2021 11:15,R_3I6vhx6HDf11XdZ,anonymous,EN,0,C,A,D,C,A,A,C,B,D,C
23/03/2021 11:05,23/03/2021 11:15,100,564,TRUE,23/03/2021 11:15,R_1JWIoQbM9ZgCTIK,anonymous,EN,94,A,A,A,B,C,A,D,C,A,B
23/03/2021 11:04,23/03/2021 11:14,100,602,TRUE,23/03/2021 11:15,R_3sAlKhBEsjSgy2H,anonymous,EN,94,A,A,B,A,B,D,A,D,A,A
23/03/2021 11:06,23/03/2021 11:15,100,485,TRUE,23/03/2021 11:15,R_2U4Prfw7b6ji8eQ,anonymous,EN,87,B,C,A,D,A,A,A,D,B,A
23/03/2021 11:05,23/03/2021 11:15,100,596,TRUE,23/03/2021 11:15,R_Z4txgFhTMcvBaiB,anonymous,EN,96,A,A,A,D,A,B,A,A,D,D
23/03/2021 11:05,23/03/2021 11:15,100,583,TRUE,23/03/2021 11:15,R_27pVBUzkH3bIpVv,anonymous,EN,62,A,A,B,C,B,C,A,C,A,D
23/03/2021 11:05,23/03/2021 11:14,100,594,TRUE,23/03/2021 11:15,R_1eDHDtykHwapnAA,anonymous,EN,61,D,A,B,B,D,A,C,D,A,C
23/03/2021 11:05,23/03/2021 11:15,100,549,TRUE,23/03/2021 11:15,R_bBguV8cV3yqI40x,anonymous,EN,78,C,A,C,A,A,D,A,D,D,A
23/03/2021 11:05,23/03/2021 11:15,100,592,TRUE,23/03/2021 11:15,R_1I6lrghXhapIg4W,anonymous,EN,76,C,A,B,B,B,B,D,A,C,D
23/03/2021 11:05,23/03/2021 11:15,100,594,TRUE,23/03/2021 11:15,R_3PgDt3lYaEcjold,anonymous,EN,90,B,A,A,A,A,A,A,C,D,D
23/03/2021 11:05,23/03/2021 11:15,100,564,TRUE,23/03/2021 11:15,R_1NfzmC3NLAkaWZn,anonymous,EN,91,D,D,A,D,D,B,D,A,A,A
23/03/2021 11:05,23/03/2021 11:15,100,597,TRUE,23/03/2021 11:15,R_7Pt8VtMlL8PHQqZ,anonymous,EN,74,D,C,C,D,A,D,A,C,B,A
23/03/2021 11:05,23/03/2021 11:15,100,590,TRUE,23/03/2021 11:15,R_26nGXU4qWb86CkO,anonymous,EN,56,D,A,D,D,C,C,C,B,A,C
23/03/2021 11:05,23/03/2021 11:15,100,585,TRUE,23/03/2021 11:15,R_3njb7gBgX45nfR7,anonymous,EN,77,,B,C,A,C,B,C,D,C,D
23/03/2021 11:05,23/03/2021 11:15,100,598,TRUE,23/03/2021 11:15,R_3ni9GNHecDybYgE,anonymous,EN,48,A,B,B,B,B,B,C,B,C,A
23/03/2021 11:06,23/03/2021 11:15,100,544,TRUE,23/03/2021 11:15,R_2zw1cFXw2mlgO38,anonymous,EN,66,D,C,B,A,D,D,C,B,A,A
23/03/2021 11:05,23/03/2021 11:15,100,604,TRUE,23/03/2021 11:15,R_Pv7rcZ6u8yDC4ql,anonymous,EN,65,D,A,A,D,B,C,D,D,,D
23/03/2021 11:05,23/03/2021 11:15,100,587,TRUE,23/03/2021 11:15,R_1jYUq1RxodX1aYs,anonymous,EN,87,A,A,A,B,D,A,A,A,A,D
23/03/2021 11:05,23/03/2021 11:15,100,601,TRUE,23/03/2021 11:15,R_2zGSMi9Ln6McStZ,anonymous,EN,53,D,B,C,B,A,A,C,B,B,A
23/03/2021 11:05,23/03/2021 11:15,100,598,TRUE,23/03/2021 11:15,R_1pKXhNAEJM2U3rT,anonymous,EN,84,A,A,A,D,B,A,A,A,D,B
23/03/2021 11:05,23/03/2021 11:15,100,589,TRUE,23/03/2021 11:15,R_1oI2jKb8c41Jut0,anonymous,EN,39,A,D,C,B,C,D,C,C,D,D
23/03/2021 11:05,23/03/2021 11:15,100,609,TRUE,23/03/2021 11:15,R_snuLuEbsnyXOZVf,anonymous,EN,57,C,C,C,B,A,B,A,C,A,B
23/03/2021 11:05,23/03/2021 11:15,100,579,TRUE,23/03/2021 11:15,R_1Ka2pR1ENDm6Mx6,anonymous,EN,80,A,A,A,B,C,A,A,B,A,B
23/03/2021 11:15,23/03/2021 11:16,100,24,TRUE,23/03/2021 11:16,R_x5ftM3ojUUagjex,anonymous,EN,85,C,C,A,A,B,A,A,C,A,C